month,review_count
2024-09,17
2024-10,294
2024-11,247
2024-12,3339
2025-01,247
2025-02,138
2025-03,189
2025-04,139
2025-05,304
2025-06,144
2025-07,205
2025-08,331
2025-09,1274
2025-10,490
2025-11,148
2025-12,147
2026-01,153
2026-02,784
2026-03,316
2026-04,177
