shop_id,item_id,product_name,brand,review_count,avg_rating,avg_review_len,reply_count,reply_rate
FPTShop,912485,Acer Nitro V Gaming ANV15-51-73UU i7 13620H,Oppo,5,5.0,125.0,0,0.0
FPTShop,913622,MSI Gaming Katana 15 B13VEK-2256VN i7-13620H,Oppo,5,5.0,113.8,0,0.0
FPTShop,916674,MSI Gaming Titan 18 HX AI A2XWIG-090VN U9 285HX/64GB/6TB/18\\,Apple,5,4.6,147.0,0,0.0
FPTShop,919245,MSI Gaming Crosshair 16 HX D2XWFKG-070VN U9 275HX,Apple,6,4.5,113.17,0,0.0
FPTShop,923733,Acer Gaming Nitro V 16 AI ProPanel ANV16S-71-75LR Core7 240H,Apple,5,4.8,82.0,0,0.0
FPTShop,923734,Acer Gaming Nitro V 16 AI ProPanel ANV16S-61-R7KQ Ryzen5 340,Apple,5,4.4,82.2,0,0.0
FPTShop,923735,Acer Gaming Nitro V 16S ProPanel ANV16S-41-R337 Ryzen7 260,Apple,5,5.0,108.6,0,0.0
FPTShop,924474,Acer Aspire 16 AI A16-71M-59L5,Apple,5,4.6,73.8,0,0.0
FPTShop,924477,Dell 15 DC15250 i7-1355U_i7U161W11SLU (512GB),Apple,5,4.8,117.0,0,0.0
FPTShop,560716967,Macbook Air 13 M2 2024 8CPU/8GPU/16GB/256GB,Apple,17,4.588,119.59,0,0.0
FPTShop,1837145981,Lenovo IdeaPad 3 14IAH8 i5 12450H (83EQ0005VN),Oppo,7,4.857,39.43,0,0.0
FPTShop,5557725342,Dell Vostro 14 V3420 i5 1235U_71003348,Oppo,6,4.333,51.5,0,0.0
FPTShop,9322514268,Lenovo Ideapad Slim 3 14IRH10 i5 13420H (83K0000BVN),Apple,10,5.0,128.3,0,0.0
FPTShop,10068415541,Dell Vostro V3430_60YGM1,Oppo,6,4.167,39.0,0,0.0
FPTShop,10377146540,MSI Modern 14 C7M-221VN R7 7730U,Oppo,6,4.667,54.83,0,0.0
FPTShop,10377146727,MSI Modern 14 C7M-220VN R5 7530U,Oppo,6,4.667,54.83,0,0.0
FPTShop,10512411348,Acer Aspire Go AG15-31P-32U6 i3 N305,Apple,6,4.167,32.17,0,0.0
FPTShop,11104113372,Acer Aspire 3 A315-510P-34XZ i3 N305,Oppo,12,4.167,57.17,0,0.0
FPTShop,11281333455,MSI Gaming Katana15 B13VFK-2099VN i7 13620H,Oppo,6,4.5,76.5,0,0.0
FPTShop,13211018396,MSI Gaming Thin 15 B13VE-2824VN i5-13420H,Oppo,5,5.0,121.6,0,0.0
FPTShop,14647139087,Asus TUF Gaming FX506HE-HN377W i7 11800H,Oppo,22,5.0,123.09,19,0.8636
FPTShop,14647139460,Asus TUF Gaming FX507ZV4-LP042W i7 12700H,Oppo,22,5.0,134.82,9,0.4091
FPTShop,15346428439,Acer Nitro V 15 ProPanel Gaming ANV15-51-78BG i7 13620H,Oppo,5,5.0,126.6,0,0.0
FPTShop,19401313838,Acer Gaming Nitro V 15 ANV15-41-R732 R5 6600H,Samsung,7,4.143,81.71,0,0.0
FPTShop,24777113129,Lenovo ThinkBook 16 G8 IAL U5-225H (21SK0071VN),Samsung,12,5.0,162.5,0,0.0
FPTShop,27361116910,MSI Gaming Katana 15 B13UDXK-2411VN i7 13620H,Samsung,10,4.9,195.5,0,0.0
FPTShop,27936525731,MacBook Pro 14 M4 Max 2024 14CPU/32GPU/36GB/1TB,Oppo,5,5.0,184.2,0,0.0
FPTShop,28609411721,HP 245 G10 R5-7530U (B8PF8AT),Oppo,5,5.0,84.2,1,0.2
FPTShop,28677142627,Asus Vivobook 15 OLED A1505VA-L1113W i5 13500H,Oppo,68,5.0,131.19,19,0.2794
FPTShop,28677142814,Asus TUF Gaming FX506HF-HN017W i5 11400H,Oppo,74,5.0,121.69,35,0.473
FPTShop,31300633884,Asus Vivobook S 14 OLED S5406SA-PP059WS Core Ultra 7-258V,Oppo,10,5.0,196.7,0,0.0
FPTShop,32855416896,Dell Inspiron 15 N3530 i7 1355U_N5I7305W1,Oppo,10,5.0,180.8,0,0.0
FPTShop,33525633917,Lenovo V14 G4 IRU i3-1315U (83A000S4VN),Apple,6,4.833,104.0,0,0.0
FPTShop,34337625750,HP OmniBook 7 14-fs0042TU Core 5-210H (C1MP3PA),Samsung,5,4.8,103.0,0,0.0
FPTShop,34960817999,Gigabyte Gaming A16-CMHH2VN893SH i5 13420H,Apple,10,5.0,187.0,0,0.0
FPTShop,35483627434,MSI Modern 15 F13MG-666VN i5-1334U,Apple,5,4.6,157.8,0,0.0
FPTShop,35570415607,Colorful Rimbook L1 i5- 13420H/A10205500051,Samsung,5,5.0,112.4,0,0.0
FPTShop,38979539058,Lenovo Yoga Pro 7 14IMH9 Ultra 7 155H (83E2005DVN),Oppo,5,4.8,54.2,1,0.2
FPTShop,40615617180,Acer Aspire Lite 16 AI AL16-71P-71WU Ultra 7 155H,Samsung,11,5.0,196.82,0,0.0
FPTShop,40924816156,MSI Gaming GP68HX 12VH-070VN i9-12900HX,Oppo,6,4.333,62.5,0,0.0
FPTShop,41591837663,MacBook Pro 14 2023 M3 8 CPU/10 GPU/16GB/512GB,Oppo,12,4.417,71.25,0,0.0
FPTShop,41681430932,Lenovo Yoga Slim 7 14ILL10 ULTRA 5 226V (83JX0086VN),Samsung,11,4.818,165.18,0,0.0
FPTShop,41751612807,HP 14-ep0112TU i5-1335U (8C5L1PA),Apple,10,5.0,137.5,0,0.0
FPTShop,45863917194,HP OmniBook 5 16-ag1066AU Ryzen Al 7 350 (BZ7S9PA),Samsung,5,5.0,247.4,0,0.0
FPTShop,46353126540,Lenovo Gaming LOQ 15ARP9 R5-7235HS (83JC007HVN),Oppo,5,5.0,62.8,0,0.0
FPTShop,46524023563,HP 250 G10 i5-1334U (B3WA8AT),Oppo,5,4.8,91.4,0,0.0
FPTShop,49645131091,MSI Venture A15 AI A2HMG-003VN R7 260,Samsung,10,5.0,178.9,0,0.0
FPTShop,50481527195,MSI Modern 14 H D13MG-217VN i7-13700H,Oppo,10,4.9,142.9,0,0.0
FPTShop,50822635473,MSI Gaming Katana 15HX B14WEK-027VN i7-14650HX,Samsung,10,4.9,172.7,0,0.0
FPTShop,52217531100,HP ProBook 440 G10 i5-1340P/9H8U7PT,Oppo,6,4.167,45.5,0,0.0
FPTShop,52698224173,Asus Vivobook 14 A1407CA-LY008WS Ultra 5-225H,Samsung,10,5.0,199.1,0,0.0
FPTShop,56245414441,Asus TUF Gaming A15 FA506NCR-HN097W R7-7435HS,Oppo,5,5.0,149.6,0,0.0
FPTShop,57739338371,Lenovo Gaming LOQ 15AHP9 R7 8845HS (83DX0085VN),Oppo,6,4.0,51.83,0,0.0
FPTShop,59564510814,Colorful Rimbook L1 i5- 13420H/A10205500050,Samsung,1,4.0,12.0,0,0.0
FPTShop,59663525766,Macbook Air M3 15 2024 8CPU 10GPU/16GB/512GB,Oppo,12,4.667,58.25,0,0.0
FPTShop,63272929266,Asus Vivobook S3407VA-LY146W Core 5-210H,Samsung,5,5.0,254.0,0,0.0
FPTShop,63309816227,Colorful Rimbook S1 i5- 12450H/A10205500034,Samsung,5,5.0,96.0,0,0.0
FPTShop,65892624461,MSI Modern 14 F13MG-027VN i5-1335U,Oppo,10,4.9,179.0,0,0.0
FPTShop,66410412413,Dell Inspiron 16 N5640 i5 1334U_N6I5419W1,Oppo,6,4.667,29.67,0,0.0
FPTShop,67951439339,MSI Gaming Crosshair 16 HX D2XWFKG-036VN U7 255HX,Apple,10,4.8,167.3,0,0.0
FPTShop,71383517545,HP OmniBook 5 16-ag1068AU AMD AI 5 340 (BZ7T0PA),Samsung,10,5.0,165.8,0,0.0
FPTShop,73056611149,Colorful Rimbook L1 i5-12450H/A10205500033,Samsung,5,5.0,213.8,0,0.0
FPTShop,74054915315,Asus Vivobook S14 S3407CA-LY095WS Ultra 5-225H,Samsung,11,4.818,199.64,1,0.0909
FPTShop,75352030049,MacBook Pro 14 2023 M3 Pro 11 CPU/14GPU/36GB/512GB,Oppo,12,4.667,58.25,0,0.0
FPTShop,75641610612,Dell 14 DC14250 Core 5 120U_DC4C5386W,Samsung,5,4.8,103.8,0,0.0
FPTShop,79091831449,Asus TUF Gaming F16 FX608JMR-RV048W i7-14650HX,Samsung,11,5.0,204.73,0,0.0
FPTShop,81791715609,Dell Inspiron 15 N3530 i7 1355U_N5I7301W1-BL,Oppo,6,4.667,49.5,0,0.0
FPTShop,82605527644,Acer Swift X AI SFX14-72G-77F9 Core Ultra7 155H,Oppo,10,5.0,174.3,0,0.0
FPTShop,82712228831,MSI Modern 15 H AI C2HMG-220VN Ultra 7 255H,Samsung,10,4.9,194.6,0,0.0
FPTShop,84122414684,MSI Gaming Cyborg 15 AI A1VE-053VN Ultra 7 155H,Oppo,6,5.0,32.0,0,0.0
FPTShop,85911471780,Asus Vivobook  A1503ZA-L1139W i5 12500H,Oppo,5,5.0,113.4,1,0.2
FPTShop,85911855247,Asus Vivobook X1502ZA-BQ126W i5 1240P,Oppo,2,5.0,137.5,1,0.5
FPTShop,90137638156,Lenovo Yoga Slim 7 14IMH9 Core Ultra 7 155H (83CV00DKVN),Apple,5,4.8,141.8,0,0.0
FPTShop,91437114248,Macbook Pro 14 M5 2025 10CPU/10GPU/16GB/512GB Nano,Apple,5,4.4,126.6,0,0.0
FPTShop,93741613078,Dell 15 DC15250 i7-1355U_i7U161W11SLU (1TB),Samsung,5,4.2,114.6,0,0.0
FPTShop,95330514229,MacBook Pro 14 M4 Pro 2024 12CPU/16GPU/48GB/512GB 96W,Oppo,5,5.0,242.8,0,0.0
FPTShop,95919316567,Asus Zenbook 14 OLED UX3405CA-PZ187WS Ultra 5-225H,Samsung,10,5.0,217.0,0,0.0
FPTShop,102151220935,Acer Nitro V 16 ProPanel Gaming ANV16-41-R36Y R7 8845HS,Oppo,6,3.833,58.5,0,0.0
FPTShop,105596411879,Asus TUF Gaming A16 Advantage Edition FA617NSR-RL100W R7-7435HS,Oppo,6,3.833,54.5,0,0.0
FPTShop,106191735033,Acer Aspire Lite 14 AL14-71M-52GQ i5 12500H,Apple,5,5.0,139.4,1,0.2
FPTShop,106405517383,Dell Inspiron 16 5640 Core 7 150U_N6I7512W1,Oppo,5,5.0,127.2,0,0.0
FPTShop,106734414032,Lenovo IdeaPad Slim 5 14IMH9 Ultra 7 155H (83DA006UVN),Oppo,12,4.167,29.42,0,0.0
FPTShop,107396712966,MacBook Pro 14 2023 M3 8 CPU/10 GPU/8GB/512GB,Oppo,12,4.333,74.42,0,0.0
FPTShop,108821314687,Acer Aspire 7 Gaming A715-76G-73FM i7 12650H,Oppo,5,4.6,58.8,0,0.0
FPTShop,112057331069,Acer Aspire 7 Gaming A715-59G-57TU i5 12450H (16GB),Samsung,5,5.0,124.8,0,0.0
FPTShop,112212118521,HP OmniBook 5 AI 16-af1046TU Ultra 5-225U (BZ7Q8PA),Samsung,5,5.0,131.6,0,0.0
FPTShop,113485037973,Lenovo Yoga Slim 7 14IMH9 Core Ultra 5 125H (83CV00D8VN),Samsung,5,4.8,95.4,0,0.0
FPTShop,115321928457,Asus Vivobook Pro K3405ZF-KM184W i5-12500H,Oppo,12,4.167,92.83,1,0.0833
FPTShop,115811917354,MSI Gaming Vector 16 HX AI A2XWHG-010VN,Samsung,5,4.8,156.4,0,0.0
FPTShop,116648113139,Acer Gaming Nitro V ANV15-41-R2UP R5 6600H,Apple,5,5.0,266.0,0,0.0
FPTShop,120117528553,Acer Aspire Lite AL14-52M-54CJ i5 1334U,Oppo,5,5.0,124.6,0,0.0
FPTShop,120298211197,Lenovo Ideapad 1 - 14ALC7 R7 5700U (82R30077VN),Oppo,12,4.167,57.58,0,0.0
FPTShop,121144012382,HP 14s-dq5121TU i3-1215U (8W355PA),Oppo,12,4.083,76.33,0,0.0
FPTShop,122185620703,HP 15-fd1058TU U7-155H (9Z2X6PA),Oppo,6,4.333,92.5,1,0.1667
FPTShop,123973313994,MacBook Pro 14 M4 Pro 2024 12CPU/16GPU/48GB/1TB 96W,Oppo,5,5.0,237.2,0,0.0
FPTShop,128123431155,Lenovo Yoga Slim 7 14ILL10 ULTRA 7 258V (83JX0036VN),Apple,5,4.6,106.0,0,0.0
